SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
KH97-102*,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,75.20,0.06,14.08,,,,0.74,0.06,1.45,4.61,3.42,2.84,0.02,0.13,0.24,,,,99.75,12.63,,,44.00,,89.00,11.49,44.00,9.54,1.91,9.19,1.43,8.76,1.56,4.14,,3.30,0.44,,,,,,,,,,,,,,,98.00,,344.00,,,,3.61,,,,,2.52,,,,37.00,,,,,2.91,,,,,10.04,,,17.40,,646.00,,22.22,,,,,,
B-KI-158-B,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,65.54,0.92,14.38,,,,6.18,2.16,4.46,2.71,3.14,2.61,0.24,0.07,0.50,,,,99.56,38.39,,,66.00,,118.00,13.77,50.00,10.25,2.77,7.48,0.84,4.10,0.79,2.54,,2.55,0.40,,,,,,,,,,,,,,,285.00,,1974.00,,,,1.01,,,,,0.63,,,,23.80,,,,,7.14,,,,,3.33,,,108.00,,525.00,,14.61,,,,,,
71-273,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,77.15,0.04,12.60,,,,0.37,0.08,1.24,3.81,4.08,3.39,0.02,,0.56,,,,99.37,27.82,,,27.00,,38.00,3.45,10.25,1.73,0.78,0.90,0.07,0.35,0.07,0.24,,0.25,0.04,,,,,,,,,,,,,,,44.00,,565.00,,,,0.12,,,,,2.44,,,,5.65,,,,,1.22,,,,,2.01,,,270.00,,173.00,,2.84,,,,,,
KH04-17,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,76.11,0.06,13.32,,,,0.69,0.25,1.50,4.13,3.15,2.61,0.04,0.02,0.70,,,,99.23,39.25,,,8.38,,12.35,1.35,6.89,1.45,1.05,0.84,0.10,0.44,0.07,0.22,,0.22,0.03,,,,,,,,,,,,,,,46.00,,2147.00,,,,0.41,,,,,0.48,,,,4.84,,,,,1.14,,,,,1.57,,,39.00,,322.00,,3.89,,,,,,
96-1277,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,76.84,0.05,12.97,,,,0.31,0.09,0.60,4.43,3.83,3.18,0.02,0.02,0.80,,,,99.14,34.11,,,8.17,,16.00,1.78,6.47,1.37,0.30,1.27,0.20,1.28,0.28,0.97,,1.15,0.19,,,,,,,,,,,,,,,43.00,,206.00,,,,0.31,,,,,2.39,,,,10.73,,,,,1.47,,,,,5.49,,,63.00,,120.00,,7.43,,,,,,
Ga2797,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,72.60,0.16,14.58,,,,1.23,0.37,1.58,4.74,3.71,3.08,0.06,0.03,0.80,,,,99.00,34.91,,,28.00,,47.00,5.25,16.70,2.89,1.26,2.54,0.28,1.26,0.23,0.69,,0.66,0.10,,,,,,,,,,,,,,,149.00,,1471.00,,,,0.40,,,,,3.14,,,,11.19,,,,,3.68,,,,,4.08,,,97.00,,740.00,,7.71,,,,,,
KH97-111*,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,59.44,0.66,18.58,,,,5.45,1.96,5.14,5.63,1.78,1.48,0.37,0.08,0.30,,,,98.72,39.07,,,16.70,,33.00,3.76,12.41,2.89,0.72,2.39,0.27,1.29,0.23,0.62,,0.48,0.07,,,,,,,,,,,,,,,71.00,,220.00,,,,0.16,,,,,0.17,,,,6.81,,,,,1.59,,,,,0.61,,,28.00,,263.00,,2.36,,,,,,
71-272,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,70.71,0.32,14.12,,,,2.38,0.57,1.89,3.78,4.84,4.02,0.09,0.04,1.00,,,,98.65,29.92,,,32.00,,62.00,6.78,22.40,4.58,1.13,4.06,0.54,2.95,0.57,1.71,,1.66,0.26,,,,,,,,,,,,,,,198.00,,953.00,,,,0.57,,,,,2.04,,,,16.20,,,,,4.98,,,,,5.45,,,132.00,,188.00,,6.46,,,,,,
69-1255,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,63.74,0.45,16.41,,,,4.29,2.12,5.34,3.71,1.85,1.54,0.23,0.10,1.24,,,,98.01,46.84,,,19.50,,31.00,3.45,11.04,1.99,0.93,1.63,0.18,0.83,0.15,0.43,,0.34,0.04,,,,,,,,,,,,,,,107.00,,442.00,,,,0.30,,,,,0.35,,,,4.73,,,,,2.35,,,,,1.25,,,52.00,,790.00,,7.83,,,,,,
KH97-114*,,,,,"Geochemistry, Nd isotopic characteristics of metamorphic complexes in northern Hebei: Implications for crustal accretion",Acta Geologica Sinica-English Edition,,Archean,,Metamorphic,Unknown,Unknown,Granulite,41.00,117.00,,70.65,0.49,14.06,,,,3.04,0.77,1.66,2.54,4.34,3.60,0.09,0.03,2.00,,,,97.58,31.11,,,61.00,,114.00,13.43,50.00,9.45,1.88,8.34,1.22,6.96,1.34,4.01,,3.60,0.55,,,,,,,,,,,,,,,224.00,,1251.00,,,,0.60,,,,,1.42,,,,35.00,,,,,6.24,,,,,7.87,,,156.00,,196.00,,7.98,,,,,,
