Archean/ Proterozoic,Reference,Sample #,Craton/Orogenic Belt,Detailed Location,"Lithology, mineralogy, or other notes (if available)",SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,B2O3,SrO,BaO,Total,,FeO+MgO+TiO2,Mg#,FeO/(FeO+MgO),MALI,ASI,Al2O3/TiO2,CaO/Na2O,Rb/Sr,Rb/Ba,,Na,K,Ca,Al,Si,M,ln(Dzrc-melt),"Zrc. Sat. T (Miller et al., 2003) - ºC","Zrc. Sat. T (Boehnke et al., 2013) - ºC",,S,F,B,Sn,Li,Be,Cs,Rb,Sr,Ba,Ta,Th,U,Pb,Zr,Hf,Nb,Y,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Mo,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
A,"Marschall et al., 2010, J. of Petrology, 51: 2277-2301.",Z7-29-7,"Grunehogna Craton, East Antarctica",Annandagstoppane Granite,Granite,74.54269909,0.20267183,14.37956634,1.258284409,0.040534366,0.354675703,1.094427882,4.276375614,3.77982963,0.070935141,,,,,100,,1.815631941,33.44346019,0.78010882,6.961777362,1.194728315,70.95,0.255924171,1.017647059,0.350912779,,0.137992114,0.08025116,0.019515476,0.282062894,1.240517542,0.735270957,8.352157271,808.4171328,788.0493741,,,,,,,,,173,170,493,,10,,26,117,,,14,,11,,,,,48,,,,,,,,,,,,,,,,
A,"Marschall et al., 2010, J. of Petrology, 51: 2277-2301.",Z7-29-11,"Grunehogna Craton, East Antarctica",Annandagstoppane Granite,Granite,74.12836419,0.183713418,14.39088441,1.294862998,0.051031505,0.398045739,0.857329284,4.0723141,4.58262915,0.040825204,,,,,100,,1.876622155,35.40032972,0.764874662,7.797613966,1.161522648,78.33333333,0.210526316,1.017647059,0.350912779,,0.13140736,0.097295736,0.015287612,0.282284904,1.233622303,0.744554235,8.077378603,833.1727914,818.3015559,,,,,,,,,209,130,740,,18,,21,154,,,13,,6,,,,,65,,,,,,,,,,,,,,,,
A,"Marschall et al., 2010, J. of Petrology, 51: 2277-2301.",s1,"Grunehogna Craton, East Antarctica",Annandagstoppane Granite,"granite, average analyses of several samples",73.76510397,0.182386246,14.57063455,1.440499136,0.020265138,0.466098184,1.296968861,4.630584136,3.566664368,0.060795415,,,,,100,,2.088983566,36.58079019,0.755534019,6.900279643,1.157861059,79.88888889,0.280087527,1.017647059,0.350912779,,0.149421882,0.075725358,0.023127119,0.285810799,1.227577034,0.773543643,8.41385084,799.9396378,776.3599719,,,,,,,,,165,156,406,,,,31,110,,,13,,,,,,,,,,,,,,,,,,,,,,,
A,"Marschall et al., 2010, J. of Petrology, 51: 2277-2301.",s2,"Grunehogna Craton, East Antarctica",Annandagstoppane Granite,"granite, average analyses of several samples",73.55732087,0.203056786,14.59978294,1.598681309,0.020305679,0.558406163,1.269104915,4.375873747,3.746397709,0.071069875,,,,,100,,2.360144258,38.37307761,0.741129569,6.853166541,1.184857913,71.9,0.290023202,1.017647059,0.350912779,,0.141202767,0.079541353,0.022630259,0.286382561,1.224119169,0.758785356,8.326839463,808.9007313,787.8311762,,,,,,,,,168,173,561,,,,30,120,,,13,,,,,,,,,,,,,,,,,,,,,,,
A,"Marschall et al., 2010, J. of Petrology, 51: 2277-2301.",s3,"Grunehogna Craton, East Antarctica",Annandagstoppane Granite,"granite, average analyses of several samples",73.97622817,0.213129482,14.46235768,1.442838281,0.010149023,0.477004078,1.329522004,4.069758197,3.958118945,0.060894138,,,,,100,,2.132971841,37.0811427,0.751539976,6.698355137,1.19378715,67.85714286,0.326683292,1.017647059,0.350912779,,0.131324885,0.084036496,0.023707596,0.283686891,1.2310905,0.752414919,8.254518801,816.0024945,796.7830482,,,,,,,,,192,217,558,,,,32,129,,,31,,,,,,,,,,,,,,,,,,,,,,,
A,"Feng, R. 1992. PhD Dissertation. University of Saskatchewan.",LC-6,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,74.8394177,0.110649677,14.68622982,0.606413139,0.040236246,0.20118123,0.603543691,4.677463606,4.194628653,0.040236246,,,,,100,,0.918244046,37.16253658,0.75088827,8.268548568,1.153199011,132.7272727,0.129032258,1.017647059,0.350912779,,0.150934611,0.089057933,0.010762191,0.288078262,1.245455445,0.728888537,8.909638586,760.5706203,730.1105681,,,,12,,81,4,,377,85,320,,,,,67,,31,6,,4.2,8,2,4,2.5,19.9,,,,,,,,,,,,,,,,
A,"Feng & Kerrich, 1992, Chem. Geol. 98, 23-70.",LC-8,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,Garnet-muscovite granite,73.93378691,0.130412379,14.7466305,0.866528861,0.040126886,0.250793036,1.023235586,4.654718742,4.293576771,0.060190329,,,,,100,,1.247734276,34.03438476,0.775540928,7.925059927,1.120353612,113.0769231,0.219827586,1.017647059,0.350912779,,0.150200669,0.091158742,0.018245998,0.289263054,1.230384206,0.780690488,8.783597865,767.4088227,736.7210367,,,,,,140,4,18,280,123,622,2.2,16,2.6,,76,3,13,6,1.6,6.5,9,4,11,3.6,28.7,18,,24,42,,15,2.5,0.36,,0.3,,,,,1.11,0.18
A,"Feng & Kerrich, 1992, Chem. Geol. 98, 23-70.",LC-16,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,74.3941144,0.100668626,14.4962821,0.760868775,0.050334313,0.201337251,0.966418807,4.520021294,4.479753844,0.030200588,,,,,100,,1.062874652,32.05218881,0.790754531,8.033356332,1.104332626,144,0.213808463,1.017647059,0.350912779,,0.145854188,0.095111547,0.01723286,0.284352336,1.238044839,0.782384724,9.019986643,747.8223827,713.2318295,,,,,,85,4,14,257,111,562,2.1,11,3.6,,60,2.7,11,5,0.8,2.9,9,2,6,2.5,12.6,16,,16,28,,10,1.8,0.31,,0.3,,,,,1.21,0.19
A,"Feng & Kerrich, 1992, Chem. Geol. 98, 23-70.",LC-30,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,74.11359062,0.090260124,14.64219788,0.794094931,0.050144513,0.210606956,0.94271685,4.502977292,4.613295222,0.040115611,,,,,100,,1.09496201,32.10164996,0.79037866,8.173555664,1.108434593,162.2222222,0.20935412,1.017647059,0.350912779,,0.145304204,0.09794682,0.016810215,0.287214552,1.233376446,0.781584775,8.549983014,787.3276361,760.7450068,,,,,,189,4,12,360,144,822,2.4,24,4,,96,3.5,15,3,0.9,2.6,9,3,9,2.3,16.7,16,,27,49,,18,3.4,0.49,,0.4,,,,,1.1,0.17
A,"Feng & Kerrich, 1992, Chem. Geol. 98, 23-70.",LC-12,"Superior Province, Quebec",Lacorne Block in Abitibi Greenstone Belt,,74.94484522,0.05023113,14.56702756,0.542363588,0.040184904,0.140647163,0.592727328,4.550940333,4.530847881,0.040184904,,,,,100,,0.733241881,31.61380335,0.794077674,8.489060886,1.130873553,290,0.130242826,1.017647059,0.350912779,,0.146851898,0.096196346,0.010569318,0.285740046,1.247209939,0.741311216,9.503413293,712.8226039,672.9965599,,,,,,173,4,15,333,63,254,2.1,15,5.5,,37,2.3,15,10,1.2,1.2,6,2,1,1,20.6,18,,10,18,,9,2.2,0.22,,0.4,,,,,1.6,0.26
