SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
4,,metased,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-21.00,148.00,,52.09,0.56,18.45,0.11,,5.99,6.09,9.65,11.00,2.48,0.21,0.17,0.10,0.18,,,,,100.71,73.86,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,5.00,,302.00,,,,,,,,
KW6A,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,50.05,0.36,20.25,0.08,,7.06,7.13,9.50,9.97,2.95,0.18,0.15,0.15,0.13,,,,,100.52,70.37,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,3.00,,467.00,,,,,,,,
93-4,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,50.52,0.23,20.83,0.06,,7.59,7.64,8.78,9.16,2.89,0.17,0.14,0.15,0.18,,,,,100.40,67.19,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,2.00,,546.00,,,,,,,,
3,,metased,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-21.00,148.00,,51.60,1.14,16.72,0.05,,9.24,9.28,7.86,10.51,2.71,0.20,0.17,0.14,0.16,,,,,100.18,60.15,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,1.00,,318.00,,,,,,,,
93-26,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,52.13,0.63,12.76,0.05,,9.33,9.37,12.97,9.87,1.95,0.10,0.08,,0.24,,,,,100.02,71.15,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,3.00,,200.00,,,,,,,,
228106X,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,49.52,0.64,18.54,0.06,,8.27,8.32,9.29,10.79,2.46,0.22,0.18,0.44,0.15,,,,,99.93,66.55,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,1.00,,365.00,,,,,,,,
2,,metased,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-21.00,148.00,,46.04,1.23,16.04,0.10,,14.32,14.41,9.88,9.84,1.45,0.31,0.26,0.15,0.37,,,,,99.57,55.00,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.00,,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,2.00,,138.00,,,,,,,,
93-25b,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,41.86,5.75,13.52,0.03,,17.02,17.05,6.34,10.83,2.43,0.17,0.14,0.45,0.23,,,,,98.18,39.87,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.00,,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,2.00,,411.00,,,,,,,,
KW6C,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,47.21,1.52,14.59,,,8.36,8.36,8.29,15.04,2.36,0.16,0.13,1.54,0.19,,,,,97.72,63.87,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,,472.00,,,,,,,,
1,,metased,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-21.00,148.00,,42.85,3.00,16.42,0.02,,17.87,17.89,3.62,8.54,3.70,0.77,0.64,2.22,0.27,,,,,97.06,26.51,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.00,,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,9.00,,590.00,,,,,,,,
