Supplementary Table 1. Compositions of samples from Archean granulite-facies terrains.,class,continent,ref,SiO2,TiO2,Al2O3,Fe2O3,FeO,TOTAL FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho ,Er,Yb,Lu,Hf,Ta,Pb,Th,U,Sn,tot.,norm,SiO2,TiO2,Al2O3,Fe2O3,FeO,FeO Total,MnO,MgO,CaO,Na2O,K2O,P2O5,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho ,Er,Yb,Lu,Hf,Ta,Pb,Th no XRF,U no XRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-17,metased,ASIA,"Eastern Ghats, India, Kamineni & Rao, 1988 moved to post-Archean",0.10,0.10,4.90,0.16,0.21,0.35,0.01,1.31,50.58,0.20,0.26,0.01,5.10,3.00,3.00,,,5.00,5.00,,1.00,,1900.00,,40.00,,,680.00,,,,,,,,,,,,,,,,7.00,,,,100.0,,0.1,0.1,4.9,0.2,0.2,0.4,0.0,1.3,50.6,0.2,0.3,0.0,5.1,3.0,3.0,,,5.0,5.0,,1.0,,1900.0,,40.0,,,680.0,,,,,,,,,,,,,,,,7.0,,,,,,86.8,,0.050184856,0.943555762,0.006259382,0.03135181,0.04346136,-0.9,,,-2.302585093,-2.302585093,1.589235205,-1.832581464,-1.560647748,-1.038548765,-4.605170186,0.270027137,3.923556241,-1.609437912,-1.347073648,-4.605170186,1.62924054,1.098612289,1.098612289,,,1.609437912,1.609437912,,0,,7.549609165,,3.688879454,,,6.522092798,,,,,,,,,,,,,,,,1.945910149,,
26,metased,ASIA,"Condie et al. 1991, Anabar Shield, paragneiss",0.64,0.1,5.79,0.65,,0.58,0.01,2.16,47.7,0.24,0.35,0.01,,0.4,5,1.6,,5,,,,2.4,792,2.4,16,5.9,2.4,210,3.3,4.2,,0.3,0.1,,,0.04,,,,0.07,0.01,0.15,0.02,5.5,0.6,0.4,,100.0,,0.6,0.1,5.8,0.7,,0.6,0.0,2.2,47.7,0.2,0.4,0.0,,0.4,5.0,1.6,,5.0,,,,2.4,792.0,2.4,16.0,5.9,2.4,210.0,3.3,4.2,,0.3,0.1,,,0.0,,,,0.1,0.0,0.2,0.0,5.5,0.6,0.4,,,,86.8,,0.061960409,0.929750102,0.008289489,0.039269693,0.053659288,-0.9,,,-0.446287103,-2.302585093,1.756132292,-0.430782916,,-0.536365679,-4.605170186,0.770108222,3.864931398,-1.427116356,-1.049822124,-4.605170186,,-0.916290732,1.609437912,0.470003629,,1.609437912,,,,0.875468737,6.674561392,0.875468737,2.772588722,1.774952351,0.875468737,5.347107531,1.193922468,1.435084525,,-1.203972804,-2.302585093,,,-3.218875825,,,,-2.659260037,-4.605170186,-1.897119985,-3.912023005,1.704748092,-0.510825624,-0.916290732
MS-16,metased,ASIA,"Eastern Ghats, India, Kamineni & Rao, 1988 moved to post-Archean",0.77,0.04,1.03,,,,,19.70,32.88,0.06,,0.04,,2.00,3.00,,,,,,1.00,,430.00,,20.00,14.00,,120.00,,,,,,,,,,,,,,,,6.00,,,,100.0,,0.8,0.0,1.0,,,,,19.7,32.9,0.1,,0.0,,2.0,3.0,,,,,,1.0,,430.0,,20.0,14.0,,120.0,,,,,,,,,,,,,,,,6.0,,,,,,,,0.016880464,0.981501803,0.001617733,0.010057965,0.01461891,-1.0,,,-0.261364764,-3.218875825,0.029558802,,,,,2.980618636,3.49286457,-2.813410717,,-3.218875825,,0.693147181,1.098612289,,,,,,0,,6.063785209,,2.995732274,2.63905733,,4.787491743,,,,,,,,,,,,,,,,1.791759469,,
27,metased,ASIA,"Condie et al. 1991, Anabar Shield, paragneiss",1.44,0.1,2.13,0.67,,0.60,0.01,0.34,54.7,0.32,0.41,0.01,,1.2,10,5,,5,,,,6,2850,5.4,13,4.9,0.5,220,21,36,,1.8,0.3,,,0.2,,,,0.5,0.07,0.3,0.1,1.2,0.4,0.4,,100.0,,1.4,0.1,2.1,0.7,,0.6,0.0,0.3,54.7,0.3,0.4,0.0,,1.2,10.0,5.0,,5.0,,,,6.0,2850.0,5.4,13.0,4.9,0.5,220.0,21.0,36.0,,1.8,0.3,,,0.2,,,,0.5,0.1,0.3,0.1,1.2,0.4,0.4,,,,50.1,,0.020733259,0.96981174,0.009455001,0.01982163,0.017955529,-1.0,,,0.364643114,-2.302585093,0.75612198,-0.400477567,,-0.506060329,-4.605170186,-1.078809661,4.001863709,-1.139434283,-0.891598119,-4.605170186,,0.182321557,2.302585093,1.609437912,,1.609437912,,,,1.791759469,7.955074273,1.686398954,2.564949357,1.589235205,-0.693147181,5.393627546,3.044522438,3.583518938,,0.587786665,-1.203972804,,,-1.609437912,,,,-0.693147181,-2.659260037,-1.203972804,-2.302585093,0.182321557,-0.916290732,-0.916290732
28,metased,ASIA,"Condie et al. 1991, Anabar Shield, paragneiss",1.74,0.04,1.01,0.02,,0.02,0.02,18.6,34.4,,0.01,0.04,,0.2,3,1.3,,5,,,,5.1,138,1.5,11,3.4,,240,0.69,1.14,,0.09,0.02,,,0.01,,,,0.03,,,,7,,0.09,,100.0,,1.7,0.0,1.0,0.0,,0.0,0.0,18.6,34.4,,0.0,0.0,,0.2,3.0,1.3,,5.0,,,,5.1,138.0,1.5,11.0,3.4,,240.0,0.7,1.1,,0.1,0.0,,,0.0,,,,0.0,,,,7.0,,0.1,,,,99.9,,0.015861052,0.983968542,0.000170405,0.008100931,0.013736074,-1.0,,,0.553885113,-3.218875825,0.009950331,-3.912023005,,-4.017605768,-3.912023005,2.923161581,3.538056564,,-4.605170186,-3.218875825,,-1.609437912,1.098612289,0.262364264,,1.609437912,,,,1.62924054,4.927253685,0.405465108,2.397895273,1.223775432,,5.480638923,-0.371063681,0.131028262,,-2.407945609,-3.912023005,,,-4.605170186,,,,-3.506557897,,,,1.945910149,,-2.407945609
MS-15,metased,ASIA,"Eastern Ghats, India, Kamineni & Rao, 1988 moved to post-Archean",5.75,,0.84,,0.38,0.38,,5.78,45.29,0.14,0.07,0.03,1.20,,5.00,,,,,,,,590.00,,5.00,,,50.00,,,,,,,,,,,,,,,,5.00,,,,100.0,,5.8,,0.8,,0.4,0.4,,5.8,45.3,0.1,0.1,0.0,1.2,,5.0,,,,,,,,590.0,,5.0,,,50.0,,,,,,,,,,,,,,,,5.0,,,,,,96.4,,0.010043188,0.986294874,0.003661938,0.008683532,0.008697656,-1.0,,,1.749199855,,-0.174353387,,-0.967584026,-0.967584026,,1.754403683,3.813086258,-1.966112856,-2.659260037,-3.506557897,0.182321557,,1.609437912,,,,,,,,6.380122537,,1.609437912,,,3.912023005,,,,,,,,,,,,,,,,1.609437912,,
29,metased,ASIA,"Condie et al. 1991, Anabar Shield, paragneiss",6.52,0.12,1.37,0.99,,0.89,0.08,3.43,46.9,0.26,0.51,0.02,,1.1,11,7.3,,11,,,,6.8,1340,2,17,5.8,0.5,180,5.6,11.4,,0.7,0.2,,,0.1,,,,0.2,0.03,0.6,0.2,5,1,0.06,,100.0,,6.5,0.1,1.4,1.0,,0.9,0.1,3.4,46.9,0.3,0.5,0.0,,1.1,11.0,7.3,,11.0,,,,6.8,1340.0,2.0,17.0,5.8,0.5,180.0,5.6,11.4,,0.7,0.2,,,0.1,,,,0.2,0.0,0.6,0.2,5.0,1.0,0.1,,,,87.3,,0.015607885,0.973214292,0.011177823,0.018981765,0.013516825,-1.0,,,1.874874376,-2.120263536,0.31481074,-0.010050336,,-0.115633098,-2.525728644,1.232560261,3.848017675,-1.347073648,-0.673344553,-3.912023005,,0.09531018,2.397895273,1.987874348,,2.397895273,,,,1.916922612,7.200424893,0.693147181,2.833213344,1.757857918,-0.693147181,5.192956851,1.722766598,2.433613355,,-0.356674944,-1.609437912,,,-2.302585093,,,,-1.609437912,-3.506557897,-0.510825624,-1.609437912,1.609437912,0,-2.813410717
5,metased,ASIA,"Janardhan et al. 1978 S India, gneiss",7.69,0.08,0.68,0.41,1.64,2.01,0.55,0.78,47.65,0.22,0.39,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,7.7,0.1,0.7,0.4,1.6,2.0,0.6,0.8,47.7,0.2,0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,0.007704841,0.983399161,0.008895998,0.012748419,0.006672588,-1.0,,,2.039920784,-2.525728644,-0.385662481,-0.891598119,0.494696242,0.697596269,-0.597837001,-0.248461359,3.86388263,-1.514127733,-0.94160854,-2.407945609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-14,metased,ASIA,"Eastern Ghats, India, Kamineni & Rao, 1988 moved to post-Archean",10.61,0.11,4.37,0.44,0.92,1.32,,0.30,47.77,0.43,0.51,,8.20,,8.00,10.00,,,,,,46.00,7500.00,,,,,3200.00,,,,,,,,,,,,,,,,14.00,,,,100.0,,10.6,0.1,4.4,0.4,0.9,1.3,,0.3,47.8,0.4,0.5,,8.2,,8.0,10.0,,,,,,46.0,7500.0,,,,,3200.0,,,,,,,,,,,,,,,,14.0,,,,,,28.9,,0.04717161,0.939218531,0.013609858,0.037195663,0.040851813,-0.9,,,2.361796953,-2.207274913,1.474763009,-0.820980552,-0.083381609,0.274529961,,-1.203972804,3.866397827,-0.84397007,-0.673344553,,2.104134154,,2.079441542,2.302585093,,,,,,3.828641396,8.9226583,,,,,8.070906089,,,,,,,,,,,,,,,,2.63905733,,
24,metased,ASIA,"Condie et al. 1991, Anabar Shield, paragneiss",17.03,0.1,6.19,1.85,,1.66,0.01,2.13,40.7,0.62,0.78,0.01,,2.8,32,80,,19,,,,20,903,12,44,7.3,0.8,280,49,85,,4.7,1.6,,,0.54,,,,0.7,0.1,5.5,0.3,8.5,4.1,0.8,,100.0,,17.0,0.1,6.2,1.9,,1.7,0.0,2.1,40.7,0.6,0.8,0.0,,2.8,32.0,80.0,,19.0,,,,20.0,903.0,12.0,44.0,7.3,0.8,280.0,49.0,85.0,,4.7,1.6,,,0.5,,,,0.7,0.1,5.5,0.3,8.5,4.1,0.8,,,,69.5,,0.075314649,0.901976792,0.022708559,0.060365884,0.0652244,-0.8,,,2.834976495,-2.302585093,1.822935087,0.615185639,,0.509602877,-4.605170186,0.75612198,3.706228092,-0.478035801,-0.248461359,-4.605170186,,1.029619417,3.465735903,4.382026635,,2.944438979,,,,2.995732274,6.805722553,2.48490665,3.784189634,1.987874348,-0.223143551,5.634789603,3.891820298,4.442651256,,1.547562509,0.470003629,,,-0.616186139,,,,-0.356674944,-2.302585093,1.704748092,-1.203972804,2.140066163,1.410986974,-0.223143551
23,metased,ASIA,"Condie et al. 1991, Anabar Shield, paragneiss",20.76,0.54,7.04,3.19,,2.87,0.04,0.99,38.3,1.4,1.01,0.02,,7.7,63,48,,16,,,,20,693,8.2,73,7.4,1.3,360,13,25,,2.2,0.5,,,0.29,,,,0.7,0.1,1.6,0.2,8.2,2.8,2.4,,100.0,,20.8,0.5,7.0,3.2,,2.9,0.0,1.0,38.3,1.4,1.0,0.0,,7.7,63.0,48.0,,16.0,,,,20.0,693.0,8.2,73.0,7.4,1.3,360.0,13.0,25.0,,2.2,0.5,,,0.3,,,,0.7,0.1,1.6,0.2,8.2,2.8,2.4,,,,38.1,,0.087780661,0.869835454,0.042383885,0.086274216,0.076020282,-0.8,,,3.033028058,-0.616186139,1.95160817,1.160020917,,1.054438154,-3.218875825,-0.010050336,3.645449896,0.336472237,0.009950331,-3.912023005,,2.041220329,4.143134726,3.871201011,,2.772588722,,,,2.995732274,6.541029999,2.104134154,4.290459441,2.00148,0.262364264,5.886104031,2.564949357,3.218875825,,0.78845736,-0.693147181,,,-1.237874356,,,,-0.356674944,-2.302585093,0.470003629,-1.609437912,2.104134154,1.029619417,0.875468737
MS-13,metased,ASIA,"Eastern Ghats, India, Kamineni & Rao, 1988 moved to post-Archean",23.25,0.15,3.45,0.77,1.61,2.30,0.07,1.55,41.72,1.45,0.41,,211.00,11.00,18.00,25.00,12.00,11.00,260.00,,6.00,,1500.00,,50.00,,,30.00,,,,,,,,,,,,,,,,10.00,,,,100.0,,23.3,0.2,3.5,0.8,1.6,2.3,0.1,1.6,41.7,1.5,0.4,,211.0,11.0,18.0,25.0,12.0,11.0,260.0,,6.0,,1500.0,,50.0,,,30.0,,,,,,,,,,,,,,,,10.0,,,,,,54.5,,0.041934899,0.92366174,0.034403361,0.055370811,0.036316688,-0.9,,,3.146305132,-1.897119985,1.238374231,-0.261364764,0.476234179,0.834145749,-2.659260037,0.438254931,3.73098063,0.371563556,-0.891598119,,5.351858133,2.397895273,2.890371758,3.218875825,2.48490665,2.397895273,5.560681631,,1.791759469,,7.313220387,,3.912023005,,,3.401197382,,,,,,,,,,,,,,,,2.302585093,,
MS-12,metased,ASIA,"Eastern Ghats, India, Kamineni & Rao, 1988 moved to post-Archean",25.87,0.24,6.06,0.71,1.22,1.86,0.01,2.25,34.33,1.08,2.14,0.03,8.20,3.00,10.00,11.00,,5.00,5.00,,,46.00,1000.00,,60.00,,,510.00,,,,,,,,,,,,,,,,19.00,,,,100.0,,25.9,0.2,6.1,0.7,1.2,1.9,0.0,2.3,34.3,1.1,2.1,0.0,8.2,3.0,10.0,11.0,,5.0,5.0,,,46.0,1000.0,,60.0,,,510.0,,,,,,,,,,,,,,,,19.0,,,,,,68.3,,0.083369395,0.860240676,0.056389929,0.098074626,0.072200014,-0.8,,,3.253083996,-1.427116356,1.8017098,-0.342490309,0.198850859,0.619962321,-4.605170186,0.810930216,3.536019607,0.076961041,0.760805829,-3.506557897,2.104134154,1.098612289,2.302585093,2.397895273,,1.609437912,1.609437912,,,3.828641396,6.907755279,,4.094344562,,,6.234410726,,,,,,,,,,,,,,,,2.944438979,,
25,metased,ASIA,"Condie et al. 1991, Anabar Shield, paragneiss",28.96,0.41,7.81,3.1,,2.79,0.01,0.83,35.6,1.18,1.53,0.03,,6.6,53,58,,23,,,,45,1840,12,53,7.5,0.6,230,22,44,,3.5,0.6,,,0.4,,,,1.04,0.16,1.8,0.02,3,0.5,0.3,,100.0,,29.0,0.4,7.8,3.1,,2.8,0.0,0.8,35.6,1.2,1.5,0.0,,6.6,53.0,58.0,,23.0,,,,45.0,1840.0,12.0,53.0,7.5,0.6,230.0,22.0,44.0,,3.5,0.6,,,0.4,,,,1.0,0.2,1.8,0.0,3.0,0.5,0.3,,,,34.7,,0.102420373,0.850349501,0.047230127,0.098440313,0.088698645,-0.8,,,3.365915568,-0.891598119,2.055404964,1.131402111,,1.025819349,-4.605170186,-0.186329578,3.572345638,0.165514438,0.425267735,-3.506557897,,1.887069649,3.970291914,4.060443011,,3.135494216,,,,3.80666249,7.517520851,2.48490665,3.970291914,2.014903021,-0.510825624,5.438079309,3.091042453,3.784189634,,1.252762968,-0.510825624,,,-0.916290732,,,,0.039220713,-1.832581464,0.587786665,-3.912023005,1.098612289,-0.693147181,-1.203972804
MS-11,metased,ASIA,"Eastern Ghats, India, Kamineni & Rao, 1988 moved to post-Archean",29.43,0.21,4.60,0.69,1.86,2.48,0.04,1.85,35.67,0.42,0.63,0.04,8.70,12.00,16.00,13.00,4.00,9.00,54.00,,13.00,3.30,300.00,,30.00,,,150.00,,,,,,,,,,,,,,,,10.00,,,,100.0,,29.4,0.2,4.6,0.7,1.9,2.5,0.0,1.9,35.7,0.4,0.6,0.0,8.7,12.0,16.0,13.0,4.0,9.0,54.0,,13.0,3.3,300.0,,30.0,,,150.0,,,,,,,,,,,,,,,,10.0,,,,,,57.1,,0.064839013,0.915785613,0.019375374,0.05179488,0.056152232,-0.9,,,3.382014562,-1.560647748,1.526056303,-0.371063681,0.620576488,0.90860608,-3.218875825,0.615185639,3.574309999,-0.867500568,-0.46203546,-3.218875825,2.163323026,2.48490665,2.772588722,2.564949357,1.386294361,2.197224577,3.988984047,,2.564949357,1.193922468,5.703782475,,3.401197382,,,5.010635294,,,,,,,,,,,,,,,,2.302585093,,
G 104,,ASIA,"Jahn, B. M. and Z. Q. Zhang (1984). ""ARCHEAN GRANULITE GNEISSES FROM EASTERN HEBEI PROVINCE, CHINA - RARE-EARTH GEOCHEMISTRY AND TECTONIC IMPLICATIONS."" Contributions to Mineralogy and Petrology 85(3): 224-243.",35.80,0.06,0.26,9.63,,8.67,0.06,38.74,0.10,,0.02,0.03,,,,,,,,,,,,,,,,,0.875,1.9,,0.93,0.18,0.05,0.16,,0.14,,0.08,0.09,0.02,,,,,,,100.0,,35.8,0.1,0.3,9.6,,8.7,0.1,38.7,0.1,,0.0,0.0,,,,,,,,,,,,,,,,,0.9,1.9,,0.9,0.2,0.1,0.2,,0.1,,0.1,0.1,0.0,,,,,,,,,88.9,,0.560532093,0.39268045,0.046787458,0.327053504,0.485435032,0.1,,,3.577947893,-2.813410717,-1.347073648,2.264883226,,2.159300463,-2.813410717,3.656872658,-2.302585093,,-3.912023005,-3.506557897,,,,,,,,,,,,,,,,,-0.133531393,0.641853886,,-0.072570693,-1.725971729,-2.937463365,-1.864330162,,-1.966112856,,-2.47693848,-2.430418465,-4.074541935,,,,,
35*,,Europe,"Fennoscandian Shield, Holtta, P. (1997). ""Geochemical characteristics of granulite facies rocks in the Archean Varpaisjarvi area, central Fennoscandian shield."" Lithos 40(1): 31-53.",36.00,0.72,24.40,,10.89,10.89,0.00,18.50,0.32,0.64,0.89,0.00,,10.0,150,38,,35,,220,40,27.0,8,45.00,570.00,1.00,,114,63.5,130,12.7,52.10,10.70,1.95,10.90,1.80,10.20,2.05,6.30,8.20,0.93,,,2.0,11.40,2.10,,100.0,,36.0,0.7,24.4,,10.9,10.9,,18.5,0.3,0.6,0.9,,,10.0,150.0,38.0,,35.0,,220.0,40.0,27.0,8.0,45.0,570.0,1.0,,114.0,63.5,130.0,12.7,52.1,10.7,2.0,10.9,1.8,10.2,2.1,6.3,8.2,0.9,,,2.0,11.4,2.1,,,,75.2,,0.903653332,0.021586098,0.07476057,0.526587236,0.782586742,0.8,,,3.583518938,-0.328504067,3.194583132,,2.387844937,2.387844937,,2.917770732,-1.139434283,-0.446287103,-0.116533816,,,2.302585093,5.010635294,3.63758616,,3.555348061,,5.393627546,3.688879454,3.295836866,2.079441542,3.80666249,6.345636361,0,,4.736198448,4.151039906,4.86753445,2.541601993,3.953164949,2.370243741,0.667829373,2.388762789,0.587786665,2.32238772,0.717839793,1.840549633,2.104134154,-0.072570693,,,0.693147181,2.433613355,0.741937345
GB 351,metased,Africa,"Brandl, G. (1983). Geology and geochemistry of various supracrustal rocks of the Beit Bridge Complex east of Messina. The Limpopo Mobile Belt. W. J. Van Biljon and J. G. Legg, Geological Society of South Africa Special Publication. 8: 103-112.",36.79,0.04,11.72,0.65,4.96,5.54,0.10,2.92,25.84,0.74,1.90,0.23,,,,,,163,11,83,18,111,1343,12.00,74.00,11.00,,,,,,,,,,,,,,,,,,8,,,,100.0,,36.8,0.0,11.7,0.7,5.0,5.5,0.1,2.9,25.8,0.7,1.9,0.2,,,,,,163.0,11.0,83.0,18.0,111.0,1343.0,12.0,74.0,11.0,,,,,,,,,,,,,,,,,,8.0,,,,,,48.4,,0.188834786,0.758331408,0.052833806,0.147251199,0.163535722,-0.6,,,3.605226069,-3.218875825,2.461296784,-0.430782916,1.601405741,1.712873176,-2.302585093,1.071583616,3.251923679,-0.301105093,0.641853886,-1.46967597,,,,,,5.093750201,2.397895273,4.418840608,2.890371758,4.709530201,7.202661197,2.48490665,4.304065093,2.397895273,,,,,,,,,,,,,,,,,,2.079441542,,
MS-10,metased,ASIA,"Eastern Ghats, India, Kamineni & Rao, 1988 moved to post-Archean",39.23,0.35,8.00,0.92,2.50,3.33,0.06,1.73,29.32,0.72,0.32,0.04,13.00,16.00,18.00,30.00,11.00,5.00,9.00,30.00,10.00,5.00,1600.00,,60.00,,,150.00,,,,,,,,,,,,,,,,12.00,,,,100.0,,39.2,0.4,8.0,0.9,2.5,3.3,0.1,1.7,29.3,0.7,0.3,0.0,13.0,16.0,18.0,30.0,11.0,5.0,9.0,30.0,10.0,5.0,1600.0,,60.0,,,150.0,,,,,,,,,,,,,,,,12.0,,,,,,48.1,,0.127113185,0.848548609,0.024338205,0.087894798,0.110083248,-0.7,,,3.66944176,-1.049822124,2.079441542,-0.083381609,0.916290732,1.202316233,-2.813410717,0.548121409,3.378269877,-0.328504067,-1.139434283,-3.218875825,2.564949357,2.772588722,2.890371758,3.401197382,2.397895273,1.609437912,2.197224577,3.401197382,2.302585093,1.609437912,7.377758908,,4.094344562,,,5.010635294,,,,,,,,,,,,,,,,2.48490665,,
G 69,,ASIA,"Jahn, B. M. and Z. Q. Zhang (1984). ""ARCHEAN GRANULITE GNEISSES FROM EASTERN HEBEI PROVINCE, CHINA - RARE-EARTH GEOCHEMISTRY AND TECTONIC IMPLICATIONS."" Contributions to Mineralogy and Petrology 85(3): 224-243.",40.30,0.28,,51.52,,46.36,0.02,,2.59,,,0.17,,,,,,,,,,2.3,38,,,,,,4.15,10.58,,7.19,1.68,0.42,1.67,,1.71,,1.14,1.23,0.21,,,,,,,100.0,,40.3,0.3,,51.5,,46.4,0.0,,2.6,,,0.2,,,,,,,,,,2.3,38.3,,,,,,4.2,10.6,,7.2,1.7,0.4,1.7,,1.7,,1.1,1.2,0.2,,,,,,,,,,,,,,,,,,,3.696351469,-1.272965676,,3.941970082,,3.836387319,-3.912023005,,0.951657876,,,-1.771956842,,,,,,,,,,0.828551818,3.645449896,,,,,,1.423108334,2.358965426,,1.972691172,0.518793793,-0.867500568,0.512823626,,0.536493371,,0.131028262,0.207014169,-1.570217199,,,,,
5664,,Antarctica,"Sheraton, J. W. and L. P. Black (1983). ""GEOCHEMISTRY OF PRECAMBRIAN GNEISSES - RELEVANCE FOR THE EVOLUTION OF THE EAST ANTARCTIC SHIELD."" Lithos 16(4): 273-296",40.75,1.07,4.70,,18.47,18.47,0.18,27.02,3.69,0.44,1.33,0.27,,,154,4589,,,,137,,56.0,29,,150.00,,,103,86,41,,,,,,,,,,,,,,,,,,97.9,,41.6,1.1,4.8,,18.9,18.9,0.2,27.6,3.8,0.4,1.4,0.3,,,157.3,4686.5,,,,139.9,,57.2,29.6,,153.2,,,105.2,87.8,41.9,,,,,,,,,,,,,,,,,,,,72.3,,0.35066094,0.494627996,0.159481977,0.334812447,0.303681282,-0.3,,,3.728475207,0.088678016,1.568581876,,2.937167161,2.937167161,-1.693779061,3.3175967,1.326645825,-0.799961185,0.306198309,-1.288313953,,,5.05797197,8.452436782,,,,4.941000293,,4.046371058,3.388315197,,5.031654661,,,4.655748355,4.475366663,3.734591434,,,,,,,,,,,,,,,,
G 75,,ASIA,"Jahn, B. M. and Z. Q. Zhang (1984). ""ARCHEAN GRANULITE GNEISSES FROM EASTERN HEBEI PROVINCE, CHINA - RARE-EARTH GEOCHEMISTRY AND TECTONIC IMPLICATIONS."" Contributions to Mineralogy and Petrology 85(3): 224-243.",40.92,0.25,4.01,10.48,,9.43,0.17,32.35,3.94,0.52,0.09,0.03,,,100,3092,94,1624,,,,2.3,216,5.00,16.00,1.00,,26,1.19,2.42,,1.13,0.33,0.15,0.43,,0.51,,0.33,0.33,0.06,,,,,,,100.0,,40.9,0.3,4.0,10.5,,9.4,0.2,32.4,3.9,0.5,0.1,0.0,,,100.0,3092.0,94.0,1624.0,,,,2.3,216.0,5.0,16.0,1.0,,26.0,1.2,2.4,,1.1,0.3,0.2,0.4,,0.5,,0.3,0.3,0.1,,,,,,,,,85.9,,0.33032466,0.591159932,0.078515408,0.243677738,0.286069547,-0.3,,,3.711618941,-1.386294361,1.388791241,2.349468679,,2.243885916,-1.771956842,3.476614021,1.371180723,-0.653926467,-2.407945609,-3.506557897,,,4.605170186,8.03657341,4.543294782,7.392647521,,,,0.845868268,5.375278408,1.609437912,2.772588722,0,,3.258096538,0.173953307,0.88376754,,0.122217633,-1.108662625,-1.883874758,-0.84397007,,-0.673344553,,-1.108662625,-1.114741671,-2.864704011,,,,,
