Sample,Pluton or Unit,Classification,Reference,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,MnO,P2O5,LOI,Sum,Cs,Rb,Ba,Th,U,Nb,Ta,La,Ce,Pb,Pr,Sr,Nd,Zr,Hf,Sm,Eu,Gd,Tb,Dy,Y,Ho,Er,Tm,Yb,Lu,Sc,V,Cr,Co,Ni,Ga
HRG-2,GHR,Bt-(Ms-)granite,L2012,74.52,13.45,1.18,0.17,0.82,3.90,4.93,0.12,0.01,0.04,0.43,99.69,15.6,157,1214,13.2,1.7,4.2,0.2,33.3,69.1,25.8,7.69,226,28.2,106,3.6,6.06,0.99,6.00,0.98,5.95,35.9,1.18,3.47,0.50,3.14,0.46,2,7,6,1,2,18
MTL-40b,GHR,Bt-(Ms-)granite,L2012,72.77,13.91,1.17,0.29,0.87,3.95,5.51,0.22,0.02,0.08,0.51,99.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWK-01,GLD,Bt-(Ms-)granite,L2012,70.34,14.81,1.90,0.57,1.67,4.39,4.33,0.36,0.02,0.12,0.75,99.38,1.6,127,1031,21.3,1.3,6.2,0.1,80.8,154.0,24.8,16.77,242,56.0,331,9.4,8.14,1.04,5.04,0.60,2.35,9.9,0.40,1.05,0.12,0.84,0.13,4,22,23,3,12,20
DWK-02,GLD,Bt-(Ms-)granite,L2012,73.63,14.70,0.93,0.22,1.27,5.24,3.29,0.12,0.02,0.05,0.51,100.05,1.4,88,601,11.5,1.1,4.2,0.2,17.5,31.1,33.9,3.28,278,11.6,117,3.7,2.21,0.56,1.57,0.19,0.90,4.1,0.15,0.36,0.05,0.29,0.05,2,3,8,1,1,18
DWK-05,GLD,Bt-(Ms-)granite,L2012,72.54,14.49,1.34,0.35,1.34,4.33,3.66,0.26,0.02,0.07,0.69,99.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWK-06,GLD,Bt-(Ms-)granite,L2012,73.37,13.67,1.03,0.29,1.13,4.78,3.26,0.15,0.02,0.05,1.20,99.04,4.8,133,674,4.7,1.5,6.8,0.5,23.1,41.8,21.0,4.50,281,15.7,119,3.5,2.78,0.67,2.35,0.36,2.06,13.6,0.43,1.34,0.21,1.49,0.22,2,7,12,1,5,18
DWK-07,GLD,Bt-(Ms-)granite,L2012,71.73,14.54,1.66,0.46,1.69,4.01,4.43,0.34,0.03,0.10,0.89,100.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR 67,GLD,Bt-(Ms-)granite,KR2000,73.49,14.63,0.59,0.09,0.87,4.30,5.14,0.12,0.01,0.02,0.20,,,124,717,,,3.0,,,,,,245,,46,,,,,,,12.0,,,,,,,2,12,,,15
TR 68,GLD,Bt-(Ms-)granite,KR2000,72.51,15.01,0.89,0.13,1.26,4.72,4.21,0.12,0.01,0.04,0.17,,,100,822,,,5.0,,,,,,435,,71,,,,,,,6.0,,,,,,,8,6,,,18
T-10,Turfloop,Bt-(Ms-)granite,H2000,73.90,14.30,1.25,0.27,1.11,4.27,3.90,0.14,0.01,0.05,0.75,,3.2,194,570,12.8,2.5,8.8,0.9,33.1,55.5,31.7,5.30,164,17.5,125,3.2,3.00,0.51,1.73,0.24,1.17,6.1,0.20,0.49,0.07,0.40,0.06,,,,,,
