NoEch.orig,DataSource,Age (Ga),Age,Most_likely,SiO2,TiO2,Al2O3,FeOt,MgO,MnO,CaO,Na2O,K2O,P2O5,LOI,A/NK,A/CNK,K2O/Na2O,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,Hf,Ta,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,La/Lu N,La,Lu,,Proba,Class.auto.2,Proba.2
06KB04,"Benn and Moyen, 2008",2.74,2740,Potassic,79.13169,0.19382839,11.54428,2.3811481,0.348041,0.01781958,0.8756204,3.887052,1.4857136,0.02245609,,1.4425352,1.2031752,0.38222118,6,2.2,12.7,13.85,7,11,37,17,,48.36,93.7,13.64,258.8,6.4,,0.466,367,7.6,0.68,,9.95,2.029,26.37,45.52,4.576,15.74,2.67,0.666,2.491,0.366,2.181,0.472,1.435,0.216,1.49,0.243,,,,,1,class13,1
3187A,"Bédard, 2006",2.75,2750,Potassic,67.10437,1.18679534,13.87583,6.2651443,1.2661984,0.13154365,3.5067941,4.189598,2.0894605,0.38426503,0.75,1.5158192,0.8934768,0.49872577,,13.67,45.6,,,,8.5,91.7,,103.196927,238.46749,29.2749167,220.22216,22.5840475,,2.86374889,363.3192,8.208681,0.83717339,,13.3620416,2.8380751,63.809768,143.93566,17.191991,65.431001,11.1718879,2.4660761,11.7046514,1.31127858,6.3097247,1.21792855,3.39076444,0.442126072,2.86816266,0.43484768,,,,,1,class7,1
,Compiled by Martin and Moyen (2002),2.8,2800,Potassic,72,0.54,14.8,2.4212421,1.35,0.05,3.2,4.52,1.39,0.11,,1.6554014,1.0027952,0.30752212,,6.1,36,4.4,4.1,12,,,,52,190,23,260,16,,1.1,640,8.1,0.75,,17,1.2,68,130,,,7.1,1.5,5.6912388,0.83,,,,,1.7,0.24,,,,,1,class7,1
,Compiled by Martin and Moyen (2002),3.07,3070,Potassic,73.95,0.59,11.27,4.4531413,1.32,0.05,2.1,4,1.89,0.08,,1.3064846,0.9056229,0.4725,,,17,8,,15,7,42,,22,132,41,379,14,,,792,,,,14,1.4,60,97,,,,,,,,,,,,,,,,,1,class2,0.999
,Compiled by Martin and Moyen (2002),3.142,3142,Potassic,71.59,0.31,14.69,2.5381188,0.78,0.03,2.77,4.33,1.46,0.09,,1.687801,1.0691324,0.33718245,,,,35,,,2,34,,46,405,12,227,5,,,750,,,,19,2,86,155,,,,,,,,,,,,,,,,,1,class10,0.999
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,68.06,0.46,14.28,3.7181548,1.68,0.08,2.82,4.93,2.12,0.26,,1.3724035,0.9193629,0.43002028,,,61,55,,24,14,,,80,503,21,279,12,,,914,,,,21,3,71,120,,,,,,,,,,,,,,,,,0.999,class10,0.999
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,68.12,0.46,15.21,3.5120792,1.23,0.07,3.44,4.26,2.06,0.19,,1.6464705,0.9817569,0.48356808,,6,51,68,,15,32,,,57.6,515,22.2,168,12.9,,,814,,1.3,,14.2,1.2,65.3,130,,49,8.1,1.7,,0.7,,0.5,,,1.8,0.4,,,,,0.999,class7,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,69.06,0.48,15.55,3.4430963,0.93,0.05,2.94,4.87,1.41,0.1,,1.6303444,1.0447853,0.28952772,,8,31,,,16,58,,,63.2,335.9,24,280,8.5,,,737,,0.5,,5.1,0.9,52.8,97.8,,43.3,7.8,2.6,6.7,0.9,4.5,0.8,2.2,,1.7,0.3,,,,,1,class7,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,65.18,0.6,15.53,4.5061476,1.88,0.07,3.9,4.36,2,0.13,,1.6631851,0.9453039,0.4587156,,9,59,,,35,24,,,115.9,313.9,31.7,178,11.7,,,371,,1.5,,8.4,4,39.1,73,,29,5.3,1.1,5.2,0.9,4.5,1,3,,3.2,0.5,,,,,1,class7,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,68.44,0.38,15.08,3.4661566,1.23,0.06,3.9,3.77,1.37,0.11,,1.9622746,1.0205716,0.36339523,,,29,21,,22,17,,,69,220,29,272,11,,,321,,,,13,2,58,91,,,,,,,,,,,,,,,,,1,class10,1
