Sample,   PC1,   PC2,     A,SiO2 wt%
s SC2007-21B [16512], 20.89,-28.20,  0.37, 29.58
s KD5081A 583.4 [17349], 36.45, -3.49, -0.00, 33.94
s LM-34 [12751], 23.52,-21.31,  0.20, 32.41
s SC2007-21A [16512], 16.79,-24.89,  0.48, 34.13
s SC2007-22A [16512], 16.40,-22.48,  0.43, 35.86
s KD5085-497.5 [17349], 40.90, 18.52,  0.02, 38.96
s KD5082-421.6 [17349], 39.57, 20.21,  0.04, 40.66
s 85B-PTP-03 [17129], 30.00,  8.25,  0.05, 37.19
s KD6048-783.8 [17349], 34.93, 14.89,  0.01, 41.61
s KD5082 433.4 [17349], 34.32, 15.50,  0.01, 42.60
s 15SII 94-2/82.45 [13590], 16.83,-10.86,  1.24, 37.02
s KD6053A 693.1 [17349], 35.59, 15.85,  0.01, 41.77
s KD6071A 750.2 [17349], 28.32,  4.15, -0.00, 41.56
s KD6067 BW7 857 RPT [17349], 33.55, 15.67, -0.00, 42.81
s KD6071A-726.4 [17349], 34.32, 16.50,  0.01, 42.60
s 182JSN 95-1 [13590], 15.19, -8.47,  4.07, 39.56
s KD6067 BW7 857 [17349], 33.46, 15.66, -0.00, 42.88
s KD6020-74.98 [17349], 27.10,  5.64,  0.03, 42.97
s SC2007-17 [16512], 10.69,-18.83,  0.16, 41.44
s KD6066-622.4 [17349], 34.61, 11.85,  0.00, 41.20
s KD5073 473.5 [17349], 33.52, 18.20,  0.01, 44.13
s LM-28 [12751], 22.70, -7.39,  0.06, 37.42
s 81TOH 94-2 [13590], 17.05, -7.59,  1.20, 38.65
s KD6012-322.9 [17349], 33.84, 18.66,  0.00, 44.18
s MSA 34-2 [14411], 16.69,-10.42,  0.19, 43.19
s KD5105-152.2 [17349], 37.34, 20.37,  0.03, 42.47
s KD6084-804.1 [17349], 32.82, 18.90,  0.00, 44.99
s KD5085-434.1 [17349], 32.13, 16.43,  0.02, 44.30
s KD6039-465.8 [17349], 30.06, 10.89,  0.01, 43.09
s 23TTT 97-1 [13590], 37.99, 20.50,  3.48, 42.44
s KD6020-80.46 [17349], 28.68, 10.50,  0.01, 43.88
s KD6024-198.4 [17349], 30.38, 13.02,  0.00, 43.96
s KD6037-414.8 [17349], 35.41, 19.51,  0.00, 43.40
s KD6012-331 [17349], 28.98, 10.38,  0.02, 43.77
s KD6067-805.5 [17349], 32.87, 19.27,  0.01, 45.27
s 17VIE 64-1/221.35 [13590], 13.83,-19.59,  7.55, 41.02
s LSU-1W2-599.8 [17349], 29.82, 14.85,  0.00, 45.36
s LSU-143-573.3 [17349], 35.31, 19.62,  0.01, 43.57
s KD6056-387.8 [17349], 35.01, 18.31,  0.01, 43.25
s KD6037-443.4 [17349], 35.43, 19.74,  0.01, 43.64
s RBH-51 [17138],  7.91,-15.78,  0.43, 43.44
s KD6042A-611.5 [17349], 31.26, 16.45,  0.01, 44.86
s AMM3 [12764], 16.53, -6.58,  0.02, 42.47
s KD6048 795.3 [17349], 31.92, 19.94,  0.01, 45.99
s KD6045-303.5 [17349], 30.32,  7.82,  0.00, 41.39
s KD6024-170.5 [17349], 29.62, 14.70,  0.02, 45.54
s KD6066-636.6 [17349], 29.51, 13.55,  0.00, 44.77
s 1TOH 93-1 [13590], 21.32, -2.54,  3.91, 40.65
s KD6027-318.9 [17349], 31.75, 15.29,  0.01, 44.03
s SC2008-11 [16512], 11.27,-15.21,  0.14, 41.33
s LJD0068-125.7 [17349], 38.22, 19.55,  0.00, 41.70
s 121-BG-05 [16555], 16.38,-16.51,  0.10, 37.84
s KD6026-87.2 [17349], 33.74, 15.97,  0.00, 43.03
s KD6051-766.3 [17349], 34.30, 20.53,  0.00, 44.81
