Sample,,PC1,PC2,PC3,A
248442,,14.3,1.23,7.27,0.57
248443,,-9.48,-5.33,5.78,0.49
248484A,,-7.22,-3.85,-2.15,1.41
248484G,,-13.17,-4.18,-2.76,1.2
248484L,,-8.68,-0.54,2.56,1.24
158534,,0.7,-4.61,10.06,NaN
FeO.tot,,-13.17,2.18,2.36,1.32
221123,,-5.74,-6.43,4.43,0.42
221127,,-9.42,-9.65,0.79,0.54
119215,,-2.37,0.93,3.5,0.74
131429,,8.26,-1.17,0.69,0.92
DM 23,,,,,
DM14,,35.58,-6.61,-1.22,NaN
DM2,,,,,
KS 1,,,,,
ABDP #2,58.2,-4.97,4.74,0.12,3.77
ABDP #2,102.4,-10.56,8.14,0,4.81
ABDP #2,158.7,-8.88,9.91,1.3,4.79
ABDP #2,190.9,-6.2,7.19,3.22,3.05
ABDP #2,219.2,-0.04,4.74,3.6,2.55
79NC94,,18.95,-7.43,6.98,0.51
79NC117,,-10.77,-0.94,0.97,2.01
79NC118,,-1.56,-4.29,1.84,1.34
79NC136,,-4.85,-4.73,0.41,1.83
C-3,,,,,
C-5,,,,,
Hoering,,,,,
Pg1,,-4.14,9.07,-1.23,2.69
Pg2,,-6.11,10.53,-1.11,2.89
Pg3,,-8.2,9.49,-1.09,3.23
Pg4,,-2.8,6.47,-0.59,3.19
Pg5,,-4.89,8.17,-0.79,3.93
Pg6,,-2.16,4.07,-0.32,2.74
Pg7,,-5.51,12.72,-2.24,7.68
MC -,,16.8,9.22,-0.36,4.43
80-05,,5.43,-2.08,-0.61,1.39
80-06,,,,,
79NC123,,2.18,-4.15,2.56,2.02
79NC124,,0.21,-0.71,2.99,2.17
79NC129,,-4.48,-1.37,1.15,2.78
79NC130,,-0.7,0.32,1.93,2.72
79NC131,,-3.85,0.18,1.68,2.92
UR17/14,,29.57,-6.32,1.02,0.88
UR82/6,,29.93,-5.64,-0.75,NaN
UR93/3,,31.83,-7.14,-0.41,1.32
UR98/1,,35.05,-6.88,-1,0.44
UR91/2,,19.74,-5.14,1.52,3.16
UR91/5,,11.77,-6.39,2.69,0.1
