SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
H3630A2,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,51.38,0.15,10.28,,,5.02,15.07,16.18,1.76,0.05,0.04,0.01,0.10,,,,,100.00,84.26,,380.90,0.24,,0.29,0.05,0.25,0.11,0.04,0.20,0.05,0.48,0.13,0.42,,0.42,0.07,,,,,,,,35.57,,99.30,,250.20,46.30,309.50,9.91,6.80,1.12,,,,0.20,,,,,0.03,,,,3.10,,,,,0.39,,5.68,,,,,,1.78,0.13,45.36,,4.37,,,,,,
P6805H,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,49.38,0.80,12.23,,,10.44,12.90,11.11,2.52,0.45,0.38,0.01,0.16,,,,,100.00,68.77,,67.20,11.91,,24.21,3.14,13.55,3.32,1.16,3.14,0.49,2.99,0.61,1.65,,1.71,0.29,,,,,,,,15.80,,191.30,,236.40,77.50,189.40,56.88,18.20,59.18,,,,0.69,,,,,1.61,,,,15.01,,,,,1.94,,9.03,,,1.90,,,24.49,2.79,243.75,,5.15,,,,,,
9826J,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,46.37,0.39,16.02,,,10.90,12.03,12.11,1.66,0.26,0.22,0.01,0.25,,,,,100.00,66.30,,115.90,0.53,,0.94,0.27,1.89,1.30,0.45,1.83,0.33,2.15,0.44,1.12,,0.94,0.14,,,,,,,,51.50,,177.20,,102.60,62.90,313.70,16.53,11.50,39.49,,,,0.11,,,,,,,,,11.39,,,,,0.66,,,,,0.06,,,12.46,1.23,87.86,,1.95,,,,,,
R3703A2,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,49.84,1.34,8.33,,,13.38,20.16,5.54,0.96,0.19,0.16,0.01,0.25,,,,,100.00,72.87,,5734.16,0.72,,2.20,0.40,2.43,1.16,0.54,1.76,0.33,2.15,0.45,1.27,,1.25,0.20,,,,,,,,39.32,,252.35,,554.16,125.15,37.48,15.60,12.13,22.11,,,,0.07,,,,,,,,,11.91,,,,,0.58,,,,,0.23,,,6.32,0.33,50.86,,2.30,,,,,,
J2804L6,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,49.32,0.12,28.26,,,2.46,2.50,13.33,3.53,0.42,0.35,0.01,0.04,,,,,100.00,64.51,,50.76,2.32,,3.95,0.45,1.84,0.41,0.39,0.38,0.05,0.31,0.06,0.16,,0.13,0.02,,,,,,,,4.07,,21.93,,60.49,30.79,7.14,6.05,16.86,221.66,,,,0.02,,,,,0.05,,,,1.55,,,,,0.21,,2.34,,,0.06,,,6.44,0.21,474.54,,0.31,,,,,,
K5628E1,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,48.45,0.33,22.68,,,6.54,7.46,11.16,2.84,0.42,0.35,0.01,0.09,,,,,100.00,67.04,,219.40,1.22,,2.49,0.34,1.78,0.61,0.64,0.80,0.14,0.79,0.15,0.41,,0.40,0.07,,,,,,,,17.23,,107.60,,143.40,43.70,19.70,6.67,22.40,198.25,,,,0.02,,,,,,,,,3.88,,,,,0.24,,,,,0.08,,,12.86,2.02,619.63,,0.18,,,,,,
8825E6,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,45.95,0.38,15.51,,,7.83,14.49,14.96,0.69,0.01,0.01,0.02,0.15,,,,,100.00,76.73,,,0.15,,0.37,0.09,0.77,0.70,0.35,1.45,0.24,1.33,0.25,0.61,,0.47,0.07,,,,,,,,52.30,,,,,,,3.00,,3.00,,,,0.00,,,,,0.01,,,,,,,,,0.16,,4.33,,,0.01,,,0.40,0.02,83.00,,,,,,,,
K5629A3,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,47.33,0.59,19.81,,,10.70,9.99,8.37,2.80,0.27,0.22,0.02,0.13,,,,,100.00,62.47,,454.30,0.92,,1.83,0.25,1.15,0.33,0.44,0.36,0.05,0.33,0.06,0.16,,0.15,0.02,,,,,,,,5.38,,158.80,,220.00,88.80,6.80,3.96,16.60,96.29,,,,0.01,,,,,,,,,1.64,,,,,0.13,,,,,0.02,,,1.84,0.17,215.70,,0.14,,,,,,
R9828C99,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,80.08,0.05,12.31,,,0.22,0.16,1.78,5.02,0.35,0.29,0.03,0.00,,,,,100.00,56.10,,7.60,0.14,,0.29,0.04,0.16,0.05,0.05,0.05,0.01,0.05,0.01,0.04,,0.08,0.01,,,,,,,,0.71,,5.60,,4.30,2.80,2.40,130.44,7.20,140.84,,,,0.00,,,,,0.16,,,,0.37,,,,,3.09,,12.81,,,0.04,,,7.75,0.25,765.32,,0.08,,,,,,
K5629D5,,,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,43.86,4.24,15.57,,,16.73,6.24,10.60,2.50,0.00,0.00,0.03,0.22,,,,,100.00,39.93,,179.40,0.66,,1.91,0.35,2.21,0.94,0.48,1.30,0.28,2.14,0.50,1.38,,1.14,0.18,,,,,,,,49.09,,765.90,,143.40,81.40,86.00,15.40,17.80,23.10,,,,0.01,,,,,,,,,12.77,,,,,0.70,,,,,0.01,,,0.18,0.03,97.59,,0.07,,,,,,
J2804L31,,metased,,,Continental lower crust,ANN. REV. EPS.,,Post-Archean,,Metamorphic,Unknown,Unknown,Granulite,64.00,11.00,,87.68,0.18,6.44,,,0.93,0.49,0.09,1.28,2.86,2.37,0.03,0.01,,,,,100.00,48.35,,14.09,11.43,,20.70,2.61,10.35,2.48,0.59,2.26,0.39,2.42,0.49,1.41,,1.39,0.22,,,,,,,,2.72,,14.83,,16.00,15.28,4.02,157.45,6.61,509.59,,,,0.36,,,,,0.88,,,,14.00,,,,,4.31,,9.85,,,4.02,,,87.16,1.19,60.38,,5.08,,,,,,
