Reference,Comment,Locality,Sample,Lithology,Age Minimum,Age Maximum,Age Precise,Age,SiO2,TiO2,CaO,Al2O3,MnO,Fe2O3,FeO,FeO.tot,MgO,Na2O,K2O,P2O5,H20 ,CO2,S,F,C,Corg,LOI,Cu,Pb,Hf,Zr,Nb,Ta,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,Ni,Co,Cr,Sc,Zn,V,Ga,Rb,Sr,Cs,Ba,U,Cl,Mo,As,Sn,W,Li,Be,Bi,B,Sb,Au (ng/g),Cd,Tl,Ag,Re,Ge,In,Te
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Isua Supracrustals,248442,Metapelite,,,3750,3750,50.28,0.33,7.47,20.32,0.121,x,8.22,8.22,8.42,0.79,2.45,x,x,x,x,x,x,x,1.45,1.2,7.4,0.98,35,0.96,x,17.4,2.03,4.72,0.61,2.78,0.88,0.27,1.12,0.23,1.7,0.48,1.49,x,1.73,x,0.41,210,51,175,35,x,200,12,x,x,24.5,1139,0.09,x,0.31,x,0.83,0.54,x,x,0.05,88,x,x,x,x,x,x,x,x,x
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Isua Supracrustals,248443,Metapelite,,,3750,3750,52.17,1.1,9.91,13.4,0.158,x,10.86,10.86,5.06,0.6,2.17,x,x,x,x,x,x,x,4.4,4.4,6.81,2.1,75.5,2.66,x,36.2,2.91,9.06,1.51,8.21,3.13,0.98,3.66,0.68,4.82,1.12,3.2,x,3.25,x,0.23,77,39,158,36,x,244,10,x,x,4.46,1004,0.06,x,0.69,x,1.6,0.5,x,x,0.04,56,x,x,x,x,x,x,x,x,x
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Isua Supracrustals,248484A,Metapelite,,,3750,3750,58.31,0.57,2.24,16.47,0.086,x,13.87,13.87,2.41,2.43,2.72,x,x,x,x,x,x,x,0.91,21,7.13,4.72,163,6.09,x,23.9,31.8,66.8,7.18,28.6,5.25,1.38,3.81,0.63,3.66,0.8,2.16,x,1.86,x,4.53,52,15,69,13,x,54,15,x,x,25.9,201,0.93,x,0.22,x,3.25,0.4,x,x,0.05,37,x,x,x,x,x,x,x,x,x
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Isua Supracrustals,248484G,Metapelite,,,3750,3750,53.27,0.67,2.72,18.31,0.08,x,16.47,16.47,2.6,2.17,2.71,x,x,x,x,x,x,x,0.99,25,7.06,4.25,167,5.98,x,31.4,19.6,44.2,5.43,22,4.84,1.2,4.22,0.71,4.01,0.87,2.36,x,2.2,x,3.49,56,17,63,13,x,54,14,x,x,7.62,177,0.7,x,0.39,x,3.16,0.65,x,x,0.06,58,x,x,x,x,x,x,x,x,x
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Isua Supracrustals,248484L,Metapelite,,,3750,3750,54.65,0.92,7.81,18.11,0.121,x,9.61,9.61,2.71,1.4,1.8,x,x,x,x,x,x,x,2.74,88,20.9,5.62,214,9.56,x,38.5,22.5,53.4,6.6,27.3,5.47,1.15,4.17,0.69,4.07,0.89,2.49,x,2.19,x,4.72,110,40,118,15,x,67,13,x,x,14.1,117,0.94,x,0.51,x,5.37,0.23,x,x,1.65,12,x,x,x,x,x,x,x,x,x
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Isua Supracrustals,158534,Conglomerate matrix,,,3750,3750,55.66,0.25,10.34,8.13,0.41,x,4.34,4.34,5.58,0.54,3.98,x,x,x,x,x,x,x,10.89,x,x,x,x,x,x,x,x,31.9,x,16.8,2.12,0.57,1.31,x,0.92,x,0.45,x,0.4,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Akilia Association,FeO.tot,Garnet-mica schist,,,3750,3750,51.73,1.08,2.43,21.18,0.03,x,9.61,9.61,5.23,4.83,2.82,x,x,x,x,x,x,x,0.99,84,14.8,3.3,125,8.29,x,24.9,19.1,44.7,4.63,18.3,3.46,1.07,3.58,0.56,3.72,0.82,2.4,x,2.55,x,3.97,207,50,325,29,x,260,12,x,x,125,487,0.82,x,1.12,x,1.72,0.49,x,x,0.07,15,x,x,x,x,x,x,x,x,x
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Akilia Association,221123,Mica schist,,,3750,3750,58.56,0.52,5.02,12.79,0.158,x,11.58,11.58,7.48,1.6,1.44,x,x,x,x,x,x,x,0.71,13,6.77,1.55,45.2,3.78,x,16.4,4.86,13.7,2.08,9.74,2.2,1.05,2.25,0.35,2.36,0.5,1.42,x,1.36,x,0.25,239,30,580,17,x,87,10,x,x,1.27,71.5,0.2,x,0.46,x,0.73,0.22,x,x,x,6,x,x,x,x,x,x,x,x,x
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Akilia Association,221127,Mica schist,,,3750,3750,55.98,0.52,3.89,12.41,0.177,x,16.77,16.77,6.12,1.23,1.72,x,x,x,x,x,x,x,0.85,14,5.07,3.26,48.4,4.84,x,27.5,2.55,6.59,1.19,6.71,2.8,1.13,3.75,0.76,5.05,1.13,3,x,2.72,x,0.75,162,24,31,19,x,76,12,x,x,2.38,114,0.25,x,0.95,x,1.68,x,x,x,x,14,x,x,x,x,x,x,x,x,x
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Akilia Association,119215,Gneiss,,,3750,3750,60.27,0.75,6.34,16.71,0.14,x,6.06,6.06,3.4,1.09,3.16,x,x,x,x,x,x,x,x,x,12,3.5,44,6.3,x,14,12,22,4.4,18,3.3,0.99,2.7,0.37,1.9,0.41,1.1,x,1,x,0.34,x,x,205,x,x,x,x,x,x,3.9,69,0.15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"McLennan, Scott M, S. R Taylor, and V. R McGregor. 1984. “Geochemistry of Archean Metasedimentary Rocks from West Greenland.” Geochimica et Cosmochimica Acta 48 (1): 1–13. doi:10.1016/0016-7037(84)90345-4.",,Akilia Association,131429,Gneiss,,,3750,3750,70.53,0.84,1.98,12.99,0.06,x,5.25,5.25,2.25,3,1.72,x,x,x,x,x,x,x,x,x,7.5,3.6,63,7.7,x,17,14,27,4.1,15,3,1.1,3.5,0.67,3.7,0.76,2.4,x,2.3,x,3,x,x,274,x,x,x,x,x,x,8.1,390,0.63,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bindeman, I.N., Zakharov, D.O., Palandri, J., Greber, x, Dauphas, N., Retallack, G.J., Hofmann, A., Lackey, J.S. and Bekker, A. 2018. ""Rapid emergence of subaerial landmasses and onset of a modern hydrologic cycle 2.5 billion years ago."" Nature 557, 545–548. doi: 10.1038/s41586-018-0131-1",,"Daitari Greenstone Belt, India",DM 23,Slate,,,3500,3500,92.65,0.16,0.05,5.17,x,0.23,x,0.21,0.14,x,1.53,0.02,x,x,x,x,x,x,x,x,x,x,50.7,9.13,x,x,25.35,58.81,8.11,41.57,x,x,x,x,x,x,x,x,x,x,x,10.14,x,45.63,3.04,x,21.29,4.06,37.52,x,x,35.49,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bindeman, I.N., Zakharov, D.O., Palandri, J., Greber, x, Dauphas, N., Retallack, G.J., Hofmann, A., Lackey, J.S. and Bekker, A. 2018. ""Rapid emergence of subaerial landmasses and onset of a modern hydrologic cycle 2.5 billion years ago."" Nature 557, 545–548. doi: 10.1038/s41586-018-0131-1",,"Daitari Greenstone Belt, India",DM14,Slate,,,3500,3500,96.72,0.08,0.04,1.77,0.05,0.42,x,0.38,0.19,0.1,0.54,0.02,x,x,x,x,x,x,x,5.01,x,x,17.04,6.01,x,x,x,22.05,1,x,x,x,x,x,x,x,x,x,x,x,x,77.19,x,246.61,3.01,34.08,15.04,x,24.06,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bindeman, I.N., Zakharov, D.O., Palandri, J., Greber, x, Dauphas, N., Retallack, G.J., Hofmann, A., Lackey, J.S. and Bekker, A. 2018. ""Rapid emergence of subaerial landmasses and onset of a modern hydrologic cycle 2.5 billion years ago."" Nature 557, 545–548. doi: 10.1038/s41586-018-0131-1",,"Daitari Greenstone Belt, India",DM2,Slate,,,3500,3500,74.54,0.74,x,16.8,x,2.43,x,2.19,0.32,x,5,0.04,x,x,x,x,x,x,x,x,x,x,167.51,12.8,x,17.07,24.54,39.48,5.33,10.67,x,x,x,x,x,x,x,x,x,x,x,18.14,x,77.89,13.87,10.67,93.89,17.07,139.77,18.14,x,344.62,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bindeman, I.N., Zakharov, D.O., Palandri, J., Greber, x, Dauphas, N., Retallack, G.J., Hofmann, A., Lackey, J.S. and Bekker, A. 2018. ""Rapid emergence of subaerial landmasses and onset of a modern hydrologic cycle 2.5 billion years ago."" Nature 557, 545–548. doi: 10.1038/s41586-018-0131-1",,"Barberton Greenstone Belt, Onverwacht Group, Hooggenoeg Formation",KS 1,Shale,,,3470,3470,75.19,0.75,0.11,16.96,x,1.84,x,1.65,0.28,x,4.65,0.04,x,x,x,x,x,x,x,93.97,17.75,2.09,177.49,11.48,x,12.53,22.97,17.75,4.18,x,x,x,x,x,x,x,x,x,x,x,x,77.26,x,205.68,11.48,153.48,136.77,19.84,115.89,7.31,x,297.56,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Wille, Martin, Oliver Nebel, Martin J. Van Kranendonk, Ronny Schoenberg, Ilka C. Kleinhanns, and Michael J. Ellwood. 2013. “Mo–Cr Isotope Evidence for a Reducing Archean Atmosphere in 3.46–2.76 Ga Black Shales from the Pilbara, Western Australia.” Chemical Geology 340 (February): 68–76. doi:10.1016/j.chemgeo.2012.12.018.",,"Pilbara, Western Australia",ABDP #2 58.2,Black shale,,,3460,3460,59.39,0.87,0.35,20.98,0.05,7.03,x,6.33,2.52,5.48,3.4,0.12,x,x,x,x,x,13.38,x,264,13.7,4.3,155.9,14,1.7,19.9,37,81.2,8,31.9,6.8,1.9,5.96,0.8,4.3,0.8,1.9,x,1.9,0.3,13.8,348.4,45.7,408.5,18.7,895.9,130.1,21.6,125,94.7,2.5,1030.3,3.7,x,3.6,x,6,3,13.5,2.1,x,x,0.29,x,0.11,1.9,x,x,x,x,x
"Wille, Martin, Oliver Nebel, Martin J. Van Kranendonk, Ronny Schoenberg, Ilka C. Kleinhanns, and Michael J. Ellwood. 2013. “Mo–Cr Isotope Evidence for a Reducing Archean Atmosphere in 3.46–2.76 Ga Black Shales from the Pilbara, Western Australia.” Chemical Geology 340 (February): 68–76. doi:10.1016/j.chemgeo.2012.12.018.",,"Pilbara, Western Australia",ABDP #2 102.4,Black shale,,,3460,3460,54.55,1.05,1.44,25.21,0.08,6.94,x,6.24,2.78,2.72,5.16,0.08,x,x,x,x,x,1.38,x,126.6,16.6,5.2,189.1,17.6,2.1,25.9,39.1,79.6,7.7,31.6,6.5,1.2,5.81,0.81,5,1,2.5,x,2.5,0.4,15.7,225.8,42.9,384.3,24.2,1096.3,186.9,31.5,149.1,66.3,0.8,1051.3,4.7,x,3.1,x,6.4,3.6,20.8,2.3,x,x,0.09,x,0.08,1.3,x,x,x,x,x
"Wille, Martin, Oliver Nebel, Martin J. Van Kranendonk, Ronny Schoenberg, Ilka C. Kleinhanns, and Michael J. Ellwood. 2013. “Mo–Cr Isotope Evidence for a Reducing Archean Atmosphere in 3.46–2.76 Ga Black Shales from the Pilbara, Western Australia.” Chemical Geology 340 (February): 68–76. doi:10.1016/j.chemgeo.2012.12.018.",,"Pilbara, Western Australia",ABDP #2 158.7,Black shale,,,3460,3460,55.21,0.99,1.61,25.29,0.06,4.14,x,3.73,2.16,5.33,4.51,0.06,x,x,x,x,x,8.98,x,999.5,41.2,4.1,143.5,13.4,1.7,40.6,51.1,105.5,10.3,41.5,8.7,2.9,8.1,1.16,7.6,1.5,3.7,x,3.5,0.5,15.7,420.6,74.3,429.9,29.9,4271.7,222.4,28.5,153.9,141,0.8,1522.5,4.9,x,3.9,x,9.9,3.3,11.2,3.2,x,x,0.68,x,x,2.1,x,x,x,x,x
"Wille, Martin, Oliver Nebel, Martin J. Van Kranendonk, Ronny Schoenberg, Ilka C. Kleinhanns, and Michael J. Ellwood. 2013. “Mo–Cr Isotope Evidence for a Reducing Archean Atmosphere in 3.46–2.76 Ga Black Shales from the Pilbara, Western Australia.” Chemical Geology 340 (February): 68–76. doi:10.1016/j.chemgeo.2012.12.018.",,"Pilbara, Western Australia",ABDP #2 190.9,Black shale,,,3460,3460,57.44,0.72,3.27,22.45,0.05,3.89,x,3.5,2.19,7.82,1.93,0.06,x,x,x,x,x,1.85,x,333.6,123.5,1.7,50.7,8.3,1.3,29.3,37.8,77.7,7.5,30.3,6.8,1.5,6.77,0.97,5.8,1.3,2.9,x,2.9,0.4,13.2,154.3,19.9,252,17.6,984.1,140.2,25.9,30.4,569.3,0.4,2886,3,x,2.4,x,0.8,4.7,17,2.6,x,x,0.15,x,x,0.3,x,x,x,x,x
