Sample,suite,Location,Rock type,unit,Reference,Age,Age2se,Sm,Nd,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144 2se,eNd,TDM,,,Pb206_204,Pb207_204,Pb208_204,Mineral,Easting,Northing,UTM,Easting_for_R,"These Lat longs are from an online coversion tool, might not be exactly accurate",Latitude,Longitude,Latitude,,,Longitude,,,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3t,FeO,Fe2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,S,F,Cl,LOI,sum,Li,Rb,Cs,Be,Sr,Ba,Sc,Y,Zr,Hf,V,Nb,Ta,Cr,Mo,W,Co,Ni,Cu,Ag,Zn,Cd,Ga,In,Tl,Ge,Sn,Pb,As,Sb,Bi,Se,Te,Br,I,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,U
1,Malley Rapids,Malley Rapids,Bt granite,,Davis and Hegner 1992,2590,,69.12,11.91,0.1041,0.511245,,3.7,"2,640",,,13.918,14.793,33.736,Residue,392032,7223423,13,2392032,,65.11666667,-107.3,65,7,,107,18,,65 07,107 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Malley Rapids,Malley Rapids,Bt granite,,Davis and Hegner 1992,2590,,69.12,11.91,0.1041,0.511245,,3.7,"2,640",,,13.93,14.792,33.725,Leach,392032,7223423,13,2392032,,65.11666667,-107.3,65,7,,107,18,,65 07,107 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Malley Rapids,,,Davis and Hegner 1992,2590,,22.04,4.49,0.1231,0.511559,,3.5,"2,655",,,,,,,403516,7395910,13,2403516,,66.66666667,-107.1833333,66,40,,107,11,,66 40,107 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yamba,Contwoyto Lake,Bt granite,,Davis and Hegner 1992,2590,,45.47,9.16,0.1218,0.511508,,2.9,"2,697",,,14.524,14.932,33.992,Residue,559729,7209053,12,1559729,,65,-109.7333333,65,0,,109,44,,65 10 ,109 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yamba,Contwoyto Lake,Bt granite,,Davis and Hegner 1992,2590,,45.47,9.16,0.1218,0.511508,,2.9,"2,697",,,14.476,14.963,34.009,Leach,559729,7209053,12,1559729,,65,-109.7333333,65,0,,109,44,,65 10 ,109 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Contwoyto,Contwoyto Lake,Bt-m granite,,Davis and Hegner 1992,2590,,4.62,1.07,0.1397,0.511808,,2.8,"2,705",,,14.572,14.92,33.617,Residue,584132,7235660,12,1584132,,65.23333333,-109.2,65,14,,109,12,,65 14,109 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Contwoyto,Contwoyto Lake,Bt-m granite,,Davis and Hegner 1992,2590,,4.62,1.07,0.1397,0.511808,,2.8,"2,705",,,14.527,14.925,33.656,Residue,584132,7235660,12,1584132,,65.23333333,-109.2,65,14,,109,12,,65 14,109 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Contwoyto,Contwoyto Lake,Bt-m granite,,Davis and Hegner 1992,2590,,4.62,1.07,0.1397,0.511808,,2.8,"2,705",,,16.075,15.191,33.793,Leach,584132,7235660,12,1584132,,65.23333333,-109.2,65,14,,109,12,,65 14,109 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Contwoyto,Contwoyto Lake,Bt-m granite,,Davis and Hegner 1992,2590,,4.62,1.07,0.1397,0.511808,,2.8,"2,705",,,17.078,15.413,34.591,Leach,584132,7235660,12,1584132,,65.23333333,-109.2,65,14,,109,12,,65 14,109 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Contwoyto Lake,,,Davis and Hegner 1992,2596,,30.79,5.22,0.1024,0.511167,,2.8,"2,710",,,,,,,354990,7029725,13,2354990,,63.36666667,-107.9,63,22,,107,54,,63 22,107 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,41.24,7.82,0.1146,0.511366,,2.6,"2,724",,,,,,,388668,7108296,13,2388668,,64.08333333,-107.2833333,64,5,,107,17,,64 05,107 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Contwoyto Lake,,,Davis and Hegner 1992,2606,,12.4,2.35,0.1144,0.511351,,2.5,"2,765",,,,,,,365177,7053449,13,2365177,,63.58333333,-107.7166667,63,35,,107,43,,63 35,107 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,28.16,4.5,0.09651,0.511029,,2,"2,765",,,,,,,360992,7126148,13,2360992,,64.23333333,-107.8666667,64,14,,107,52,,64 14,107 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,98.4,15.88,0.09751,0.511023,,1.6,"2,798",,,,,,,424337,7070065,13,2424337,,63.75,-106.5333333,63,45,,106,32,,63 45,106 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Contwoyto Lake,,,Davis and Hegner 1992,2603,,39.71,6.88,0.1047,0.511136,,1.5,"2,812",,,,,,,408109,7077929,13,2408109,,63.81666667,-106.8666667,63,49,,106,52,,63 49,106 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Contwoyto Lake,,,Davis and Hegner 1992,2585,,22.32,3.84,0.104,0.511121,,1.2,"2,817",,,,,,,406551,7419975,13,2406551,,66.88333333,-107.1333333,66,53,,107,8,,66 53,107 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Contwoyto Lake,,,Davis and Hegner 1992,2595,,20.94,4.3,0.1241,0.511452,,1.1,"2,836",,,,,,,389348,7104554,13,2389348,,64.05,-107.2666667,64,3,,107,16,,64 03,107 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,21.08,2.71,0.0778,0.510636,,0.6,"2,871",,,,,,,436011,7430276,13,2436011,,66.98333333,-106.4666667,66,59,,106,28,,66 59,106 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,22.61,4.13,0.1131,0.511202,,-0.2,"2,925",,,,,,,471106,7305194,12,1471106,,65.86666667,-111.6333333,65,52,,111,38,,65 52,111 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,23.98,4.71,0.1258,0.511415,,-0.2,"2,931",,,,,,,489334,7299495,12,1489334,,65.81666667,-111.2333333,65,49,,111,14,,65 49,111 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Contwoyto,Contwoyto Lake,M-Bt granite,,Davis and Hegner 1992,2589,,15.08,2.72,0.114,0.51117,,-1.1,"2,992",,,14.053,14.867,33.595,Residue,481077,7318115,12,1481077,,65.98333333,-111.4166667,65,59,,111,25,,65 59,111 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Contwoyto,Contwoyto Lake,M-Bt granite,,Davis and Hegner 1992,2589,,15.08,2.72,0.114,0.51117,,-1.1,"2,992",,,14.143,14.945,33.838,Leach,481077,7318115,12,1481077,,65.98333333,-111.4166667,65,59,,111,25,,65 59,111 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Contwoyto,Point Lake,Bt-M granite,,Davis and Hegner 1992,2590,,,,0.1002,0.510833,,-3.1,"3,139",,,14.778,15.288,34.483,Residue,434325,7259346,12,1434325,,65.45,-112.4166667,65,27,,112,25,,65 27,112 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Contwoyto,Point Lake,Bt-M granite,,Davis and Hegner 1992,2590,,,,0.1002,0.510833,,-3.1,"3,139",,,14.838,15.38,34.735,Leach,434325,7259346,12,1434325,,65.45,-112.4166667,65,27,,112,25,,65 27,112 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Yamba,Contwoyto Lake,Bt granite,,Davis and Hegner 1992,2582,,44.09,7.26,0.106,0.510858,,-4.6,"3,248",,,14.415,15.206,34.438,Residue,471120,7229028,12,1471120,,65.18333333,-111.6166667,65,11,,111,37,,65 11,111 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Yamba,Contwoyto Lake,Bt granite,,Davis and Hegner 1992,2582,,44.09,7.26,0.106,0.510858,,-4.6,"3,248",,,14.63,15.189,34.594,Leach,471120,7229028,12,1471120,,65.18333333,-111.6166667,65,11,,111,37,,65 11,111 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Contwoyto,Contwoyto Lake,Bt-m granite,,Davis and Hegner 1992,2585,,10.15,2.43,0.1434,0.511515,,-4.2,"3,220",,,15.592,15.488,34.607,Residue,469112,7260629,12,1469112,,65.46666667,-111.6666667,65,28,,111,40,,65 28,111 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Contwoyto,Contwoyto Lake,Bt-m granite,,Davis and Hegner 1992,2585,,10.15,2.43,0.1434,0.511515,,-4.2,"3,220",,,17.033,15.737,34.591,Leach,469112,7260629,12,1469112,,65.46666667,-111.6666667,65,28,,111,40,,65 28,111 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Contwoyto,Contwoyto Lake,Bt-m granite,,Davis and Hegner 1992,2585,,10.15,2.43,0.1434,0.511515,,-4.2,"3,220",,,15.698,15.518,34.406,Leach,469112,7260629,12,1469112,,65.46666667,-111.6666667,65,28,,111,40,,65 28,111 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Contwoyto Lake,,,Davis and Hegner 1992,2580,,12.74,2.8,0.1374,0.51141,,-4.3,"3,222",,,,,,,516718,7306955,12,1516718,,65.88333333,-110.6333333,65,53,,110,38,,65 53,110 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,19.52,3.11,0.097,0.510682,,-5,"3,280",,,,,,,449872,7264612,12,1449872,,65.5,-112.0833333,65,30,,112,5,,65 30,112 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,44.09,7.26,0.1048,0.510807,,-5.1,"3,292",,,,,,,469444,7217899,12,1469444,,65.08333333,-111.65,65,5,,111,39,,65 05,111 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Contwoyto Lake,,,Davis and Hegner 1992,2590,,35.13,6.72,0.1075,0.510842,,-5.3,"3,307",,,,,,,393822,7251243,12,1393822,,65.36666667,-113.2833333,65,22,,113,17,,65 22,113 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
